ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"TRUE\" Indexed=\"TRUE\" />","<Field Type=\"Choice\" DisplayName=\"Platform\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_1\" Name=\"field_1\" ID=\"{6ee51ccb-ff18-4ca2-928c-9eb794dfa8af}\"><CHOICES /></Field>","<Field Type=\"Choice\" DisplayName=\"Version Found\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_2\" Name=\"field_2\" ID=\"{c08685f2-380a-42ca-8d8d-1750a05bbc96}\"><CHOICES /></Field>","<Field Type=\"Text\" DisplayName=\"Build Fixed\" Name=\"field_3\" ID=\"{4a0b6493-947c-408d-b1eb-e21472d65bcf}\" StaticName=\"field_3\" />","<Field Type=\"Choice\" DisplayName=\"Functionality\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_4\" Name=\"field_4\" ID=\"{94fc4227-92d7-49a8-97a2-6f87708cae9e}\"><CHOICES /></Field>","<Field ID=\"{4ee09c9c-567b-4bb6-b399-ae40e1afd982}\" DisplayName=\"Issue Title\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Note\" />","<Field ID=\"{820545f3-5000-4335-9c69-9e6885a1aa5c}\" DisplayName=\"Summary\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Note\" />","<Field ID=\"{28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f}\" ReadOnly=\"TRUE\" Type=\"DateTime\" Name=\"Modified\" DisplayName=\"Modified\" StorageTZ=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Modified\" FromBaseType=\"TRUE\" Indexed=\"TRUE\" AutoIndexed=\"TRUE\" />","<Field AppendOnly=\"FALSE\" Description=\"Internal Comment field&#xA;Can place case links, notes or further info about JIRA/SCR here\" DisplayName=\"Internal Comments\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"InternalComments\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Internal Comments\" Type=\"Note\" ID=\"{90423312-42b4-4997-8b72-f46231360718}\" StaticName=\"InternalComments\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Ticket\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Platform","Version Found","Build Fixed","Functionality","Issue Title","Summary","Internal Comments"
"SBPWC-11013","Unknown",,"25.1.5.1000","Unity Client","Resolution for Unity Forms Invocation Error in Citrix Environment.","A fix has been implemented to address the 'Exception has been thrown by target of invocation' error encountered when multiple users attempt to access Unity Form documents simultaneously in a Citrix environment. The updated logic for CefSharp temporary path resolution ensures that users can now open Unity Form documents without causing the Unity Client to become unresponsive. This enhancement improves the overall user experience by allowing seamless access to Unity Forms regardless of concurrent usage.",
"CSFPR-8896","Unknown",,"25.1.5.1000","Unity Client","Freehand annotation will stay at the same place where it has been drawn.","This is a fix that makes sure the Freehand annotation type stays at the same place where it has been drawn. Previously, the Freehand annotation may have moved to a place other than where it was drawn on a document.",
"IND-6149","Unknown",,"25.1.5.1000","Viewer-Web","Fixed defects with annotation movement on Image Rendered PDFs","Defects related to the movement of annotations during Image Rendered PDF page rotation was fixed.",
"SBPPA-13466","Unknown",,"25.1.5.1000","Web Server","A bug is fixed related to ""My Owned Items""","An issue that prevented files in ""My Owned Items"" from loading in the Web Client has been resolved. All files now load correctly, and their associated tasks execute without any problems.",
"IND-6133","Unknown",,"25.1.4.1000","Core Services - Rendering","Improvement of Line Annotation behavior","Defect fix for Line annotation in Web Client.",
"SBPPA-13420","Unknown",,"25.1.4.1000","Document Composition","Fix for Keep With Next Setting in Tables","An issue was fixed with “Keep With Next”, where both “Allow Rows to Break” and “Keep With Next” settings now work as intended, ensuring proper content flow and pagination.",
"CCT-3398","Unknown",,"25.1.4.1000","External Access Client","A rare, minor error related to memory management with External Access Client has been corrected",,
"HC-216848","Unknown",,"25.1.4.1000","HL7","The HL7 Auto Sender will now resend entire messages that were interrupted due to a loss of connection","An issue has been resolved that resulted in partial HL7 messages being sent after a connection was restored.  Now, when connectivity resumes the entire HL7 message that was interrupted will be resent.",
"HC-216201","Unknown",,"25.1.4.1000","HL7","Correction for an extra tilde being inserted into certain outbound messages containing repeating segments","In certain cases an extra tilde would be inserted following a field that was configured to repeat.  This was found to occur when a field was configured to repeat, but only one value was available to be sent in the HL7 message.",
"HC-216804","Unknown",,"25.1.4.1000","HL7","An issue has been resolved that prevented HL7 jobs that are no longer valid from being cleaned up from the database","The HL7 Backend Processor will clean up jobs that are no longer necessary because a patient merge has occurred.  

This specific situation could occur when a message was received by OnBase that caused patient demographic information to need to be updated using the Patient Record Processor or Medical Records Chart Processor.  While waiting for the job to process, the HL7 Listener would receive a merge message for this same patient that merges the patient identifiers which previously required demographic updates.  The demographic updates related to the original message are no longer required as updates related to the merge have already been processed.

With this fix the HL7 Backend processor now produce an error stating ""Unable to find Patient {PatientID} for Job {JobId}.""  Following the error the invalid job will be removed from the database.",
"CSFMD-10345","Unknown",,"25.1.4.1000","Keywords","Handled the error that was coming while selecting from a Cascading Data Set drop-down for limited access users.","Resolved an issue causing users with limited access to be unable to modify keywords they have access to and getting an error while selecting from a Cascading Data Set drop-down.",
"HC-216726","Unknown",,"25.1.4.1000","OnBase Patient Window","An issue related to modifying a document's keyword values has been resolved.","A bug which prevented a user from saving modifications to keyword values on a document has been resolved. This issue occurred only when the Keyword panel was accessed before any other option available in the right-click context menu.",
"CSFPR-8879","Unknown",,"25.1.4.1000","Unity Client","Zero-degree and ninety-degree Line annotations are not vanishing after being drawn.","This is a fix that allows for perfectly vertical (zero-degree) and perfectly horizontal (ninety-degree) Line annotations to be drawn. Previously, zero-degree and ninety-degree Line annotations vanished after being drawn.",
"SBPOF-7128","Unknown",,"25.1.4.1000","Unity Forms","Fix for First Field Display Issue on Small Devices in Responsive Unity Form. ","Resolved an issue where the first field was not displayed on small devices when the Responsive Unity Form had another page with access restrictions. This fix ensures that all fields are visible and accessible, improving user experience across devices.",
"SBPOF-7174","Unknown",,"25.1.4.1000","Unity Forms","User Interaction Window Resizing Issue Resolved in Unity Form. ","The user interaction window in Unity Forms now automatically adjusts to fit the content size, enhancing user experience. This fix addresses the previously reported issue where the window did not resize appropriately in desktop, ensuring a more seamless interaction.",
"CONFIG-2779","Unknown",,"25.1.4.1000","Unity Scheduler","Remove Expired Session Information task can throw an error in some circumstances","Unity Scheduler Task to Remove Expired Session Information no longer throws an exception when non-Core products are licensed.",
"IND-6114","Unknown",,"25.1.4.1000","Viewer-Web","Fix bugs related to splitting pdf docs in unity client.","Fix document separation functionality so that users can split PDF docs in Unity Client.",
